rule_id,record_id,checked_field,field_value,test_result,error_message
1,1,name,Jan Kowalski,1,DQ check passed
1,2,name,Anna Nowak,1,DQ check passed
1,3,name,Piotr Zielinski,1,DQ check passed
1,11,name,Alan,1,DQ check passed
1,12,name,Bartek,1,DQ check passed
1,13,name,Kacper,1,DQ check passed
1,14,name,Mikołaj,1,DQ check passed
1,15,name,Andżelika,1,DQ check passed
1,16,name,Marta,1,DQ check passed
1,17,name,Maria,1,DQ check passed
1,22,name,Artur,1,DQ check passed
2,1,email,jankow@wp.pl,1,DQ check passed
2,2,email,,0,"""Email address doesn't contain '@' symbol"""
2,3,email,piotr@gmail.com,1,DQ check passed
2,11,email,alan@poczta,1,DQ check passed
2,12,email,bartek@poczta,1,DQ check passed
2,13,email,kacper13poczta,0,"""Email address doesn't contain '@' symbol"""
2,14,email,mikołaj@poczta,1,DQ check passed
2,15,email,andżelika.poczta,0,"""Email address doesn't contain '@' symbol"""
2,16,email,marta@poczta,1,DQ check passed
2,17,email,maria2poczta,0,"""Email address doesn't contain '@' symbol"""
2,22,email,Arturekxd@pl,1,DQ check passed
