id,email,dq_check,error_message
1,jankow@wp.pl,1,DQ check passed
2,,0,"""Email address doesn't contain '@' symbol"""
3,piotr@gmail.com,1,DQ check passed
11,alan@poczta,1,DQ check passed
12,bartek@poczta,1,DQ check passed
13,kacper13poczta,0,"""Email address doesn't contain '@' symbol"""
14,mikołaj@poczta,1,DQ check passed
15,andżelika.poczta,0,"""Email address doesn't contain '@' symbol"""
16,marta@poczta,1,DQ check passed
17,maria2poczta,0,"""Email address doesn't contain '@' symbol"""
22,Arturekxd@pl,1,DQ check passed
